German,English
die,the
und,and
der,the
in,in
das,the
den,the
zu,to
mit,With
ist,is
von,from
für,for
auf,on
nicht,Not
es,it
ein,a 
im,in the
auch,also
sich,itself
ich,I
sie,you
eine,one
dem,to the
des,of
an,on
als,as
werden,will
bei,at
sind,are
dass,that
so,so
oder,or
wie,how
aus,out
wir,we
aber,but
wird,becomes
nach,after
man,one
er,he
hat,Has
noch,still
einen,a
nur,only 
um,around
am,at the
einer,one
zum,to the
kann,can
einem,a
über,above
war,was
wenn,if
haben,to have
durch,through
dann,then
vor,before
zur,to the
mehr,more
was,What
diese,this
da,there
können,be able
schon,beautiful
sein,be
bis,until
wurde,became
hier,here
sehr,very
wieder,again
immer,always
uns,us
ihr,her
mir,me
mal,times
ihre,their
alle,Everyone
dieser,this
doch,yet
habe,have
gibt,are
vom,from the
mich,me
unter,under
du,you
ja,Yes
keine,no
gut,Well
damit,in order to
hatte,would have
ganz,all
beim,at the
eines,one
denn,then
muss,got to
nun,well
Zeit,time
seine,his
jetzt,now
etwas,some
gegen,versus
dabei,included
also,so
viel,a lot of
diesem,this
ab,away
viele,many
zwei,two
anderen,others
ohne,without
selbst,even
alles,all
sowie,such as
Menschen,people
waren,were
seit,since
einfach,easy
geht,goes
Jahr,Year
dieses,this
heute,today
sondern,but
neue,new
wurden,became
Jahren,Years
bereits,already
machen,make
sollte,should
ob,if
weil,because
soll,target
ihrer,of their
ihren,their
dazu,to
dies,this
ersten,first
zwischen,in between
ihnen,them
bin,am
lassen,to let
andere,other
meine,think
seiner,his
Jahre,Years
unsere,our
leben,Life
wer,who
neuen,new
weiter,further
kommt,comes
müssen,have to
einmal,once
wo,Where
dort,there
erst,first
kein,no
natürlich,naturally
ihn,him
diesen,this
jedoch,however
konnte,could
ihm,him
würde,would
finden,Find
drei,three
seinen,his
will,want
nichts,Nothing
uhr,clock
macht,power
allem,all
sei,be
Euro,Euro
wirklich,really
ins,into the
steht,stands
kommen,come
daß,that
gerade,just
Deutschland,Germany
während,while
Tag,Day
allerdings,Indeed
Kinder,children
dafür,Therefore
wäre,would
welche,Which
Ende,End
wohl,probably
mein,my
einige,some
Weg,path
jeder,everyone
letzten,last
sehen,see
allen,all
weitere,Further
besonders,especially
zwar,that is
neben,Next
vielen,many
vielleicht,perhaps
beiden,both
Welt,World
ihrem,hers
unternehmen,Companies
wollen,want
liegt,lies
Teil,Part
seinem,his
stehen,stand
bzw.,or.
fast,nearly
Stadt,city
erste,first
euch,you
gar,at all
sogar,even
geben,give
deutschen,German
möglich,possible
etwa,about
schnell,quickly
Seite,side
großen,huge
Frage,question
denen,whom
eigentlich,actually
unserer,ours
gehen,walk
gute,quality
Arbeit,work
recht,Law
oft,often
genau,I agree
lange,Long
wenig,little
leider,unfortunately
hatten,had
davon,from that
Thema,theme
gemacht,did
Fall,case
eigenen,own
dir,to you
könnte,could
unser,our
große,size
zusammen,together
bietet,offers
besser,better
Frau,Woman
möchte,would like
darauf,thereon
gab,gave
Spiel,Game
rund,around
Art,Kind
gleich,same
hätte,would have
Platz,place
Prozent,percent
Beispiel,example
sicher,secure
daher,hence
wissen,to know
kleinen,small
paar,few
de,de
meiner,mine
kam,came
findet,find
sagen,to say
gerne,gladly
deshalb,for this reason
zurück,return
jeden,every
sollten,should
statt,instead of
lässt,leaves
Liebe,love
richtig,correct
kleine,small
stellen,place
fragen,ask
deren,whose
worden,gone
weiß,White
sollen,must
tun,do
erhalten,receive
wegen,because
eher,rather
weniger,fewer
direkt,direct
ebenfalls,Likewise
darüber,about that
ging,went
Informationen,information
nie,never
Bereich,area
später,later
ganze,whole
dich,you
hin,there
warum,why
hab,have
vier,four
nehmen,take
sieht,sees
geschichte,story
je,ever
Kunden,Customers
keinen,no
werde,will
aller,all
kurz,short
Geld,money
bekommen,to get
gilt,is applicable
Möglichkeit,possibility
nächsten,next
deutlich,clear
außerdem,in addition to that
Frauen,Women
arbeiten,work
bleibt,remains
klar,clear
kaum,hardly
eben,even
meinen,think
wollte,wanted to
Ziel,target
Berlin,Berlin
zeigt,indicates
Mann,Man
Buch,A book
rahmen,framework
konnten,could
besten,best
bitte,You're welcome
somit,Consequently
stand,was standing
sagt,says
Bild,picture
darf,may
Entwicklung,development
gehört,heard
pro,Per
zudem,in addition
wichtig,important
Internet,Internet
Wasser,water
spielen,to play
bieten,Offer
Tage,Days
neu,New
Woche,Week
Minuten,Minute
unseren,ours
stellt,places
Verfügung,disposal
bisher,so far
deutsche,German
verschiedenen,different
Land,country
guten,good
Ort,location
schön,Nice
gegenüber,opposite to
solche,such
kosten,costs
Form,shape
weit,far
weiteren,further
Wochen,Weeks
zweiten,second
musste,had to
Haus,a house
dank,thanks to
eigene,own
meisten,most
bleiben,stay
insgesamt,all in all
Grund,reason
Problem,problem
besteht,consists
sagte,said
jede,every
nachdem,after this
ebenso,as well
beide,both
anders,different
danach,thereafter
Familie,family
meinem,my
alten,old
bringen,bring
daran,to it
Leute,people
aufgrund,because of
Eltern,parents
gemeinsam,together
sofort,instantly
dessen,whose
halten,keep
nutzen,to use
Hand,hand
lesen,read
leicht,easy
anfang,beginning
jedem,each
bekannt,known
Hilfe,Help
Blick,View
schließlich,after all
dadurch,thereby
Zukunft,future
Namen,Names
sowohl,either
überhaupt,at all
unserem,ours
zunächst,first
Stunden,hours
hinter,Behind
hast,have
heißt,called
Stelle,Job
finde,find
Einsatz,mission
Team,team
trotz,in spite of
Millionen,millions
insbesondere,especially
gewesen,been
Musik,music
endlich,at last
sonst,otherwise
weise,wise
per,by
innerhalb,inside
Schule,school
fünf,five
zeigen,demonstrate
fest,Celebration
ganzen,entire
führen,to lead
führt,leads
Artikel,article
stark,strong
allein,alone
liegen,lie
Personen,persons
Mai,May
Seiten,pages
oben,above
trotzdem,Nevertheless
Bilder,pictures
meist,most of time
Film,Movie
obwohl,although
Daten,Data
Erfolg,success
würden,would
jedes,every
kind,child
verschiedene,various
Probleme,Problems
neues,new
Gott,God
hinaus,out of
Abend,evening
mehrere,several
damals,back then
Preis,Price
lernen,to learn
beispielsweise,for example
einzelnen,individual
Gruppe,group
weiterhin,Farther
deine,yours
nämlich,namely
fand,found
zumindest,at least
Juni,June
Richtung,Direction
gesagt,said
hallo,Hello
Gesellschaft,company
mitarbeiter,employees
einigen,agree
lang,long
schwer,difficult
hoch,high
Programm,program
Augen,Eyes
welches,which
dennoch,nonetheless
geworden,become
Rolle,role
wert,value